x,y,species cloglog values
1.0,1.0,0.011217692
2.0,2.0,0.4017587
3.0,3.0,0.010388222
4.0,4.0,0.62104
5.0,5.0,0.57087624
6.0,6.0,0.21739914
7.0,7.0,0.2550662
8.0,8.0,0.4700661
9.0,9.0,0.39137432
10.0,10.0,0.018202214
11.0,11.0,0.23587622
12.0,12.0,0.6953242
13.0,13.0,0.2619366
14.0,14.0,0.7119367
15.0,15.0,0.007494641
16.0,16.0,0.006922863
17.0,17.0,0.5702404
18.0,18.0,0.5914128
19.0,19.0,0.3166801
20.0,20.0,0.52396876
21.0,21.0,0.5776877
22.0,22.0,0.08103561
23.0,23.0,0.546227
24.0,24.0,0.44423494
25.0,25.0,0.6381494
26.0,26.0,0.5087982
27.0,27.0,0.7007423
28.0,28.0,0.4749963
29.0,29.0,0.68377256
30.0,30.0,0.0052143657
31.0,31.0,0.551125
32.0,32.0,0.004408715
33.0,33.0,0.06400501
34.0,34.0,0.48858505
35.0,35.0,0.55203325
36.0,36.0,0.10096111
37.0,37.0,0.6817155
38.0,38.0,0.60429585
39.0,39.0,0.07201183
40.0,40.0,0.69449145
41.0,41.0,0.120049216
42.0,42.0,0.75485694
43.0,43.0,0.20571697
44.0,44.0,0.5275875
45.0,45.0,0.19010003
46.0,46.0,0.123626485
47.0,47.0,0.0036163775
48.0,48.0,0.018104758
49.0,49.0,0.77144605
50.0,50.0,0.59626496
51.0,51.0,0.13254693
52.0,52.0,0.25679186
53.0,53.0,0.32082838
54.0,54.0,0.5545491
55.0,55.0,0.16342786
56.0,56.0,0.5751366
57.0,57.0,0.16485447
58.0,58.0,0.43174767
59.0,59.0,0.5950618
60.0,60.0,0.064124525
61.0,61.0,0.014853326
62.0,62.0,0.003806228
63.0,63.0,0.62808573
64.0,64.0,0.0027793734
65.0,65.0,0.6897275
66.0,66.0,0.49681762
67.0,67.0,0.53555435
68.0,68.0,0.6399127
69.0,69.0,0.09192541
70.0,70.0,0.29178593
71.0,71.0,0.384455
72.0,72.0,0.49804765
73.0,73.0,0.28832197
74.0,74.0,0.3121374
75.0,75.0,0.5486748
76.0,76.0,0.5539694
77.0,77.0,0.023936639
78.0,78.0,0.5825525
79.0,79.0,0.8162284
80.0,80.0,0.6777831
81.0,81.0,0.004971289
82.0,82.0,0.24919018
83.0,83.0,0.48925743
84.0,84.0,0.007900049
85.0,85.0,0.61294174
86.0,86.0,0.62329674
87.0,87.0,0.5813833
88.0,88.0,0.019282695
89.0,89.0,0.5265009
90.0,90.0,0.5062524
91.0,91.0,0.0107944375
92.0,92.0,0.5276935
93.0,93.0,0.006874776
94.0,94.0,0.5649348
95.0,95.0,0.0033026491
96.0,96.0,0.67228895
97.0,97.0,0.031330034
98.0,98.0,0.36091632
99.0,99.0,0.14177209
100.0,100.0,0.236007
101.0,101.0,0.15497358
102.0,102.0,0.14724973
103.0,103.0,0.66158444
104.0,104.0,0.19282265
105.0,105.0,0.2579885
106.0,106.0,0.012226242
107.0,107.0,0.6524504
108.0,108.0,0.606583
109.0,109.0,0.58322996
110.0,110.0,0.57086307
111.0,111.0,0.42979252
112.0,112.0,0.0025321345
113.0,113.0,0.13781917
114.0,114.0,0.30467522
115.0,115.0,0.28647596
116.0,116.0,0.73764825
117.0,117.0,0.0032826627
118.0,118.0,0.2466313
119.0,119.0,0.32092407
120.0,120.0,0.3305
121.0,121.0,0.63657176
122.0,122.0,0.5893168
123.0,123.0,0.009636002
124.0,124.0,0.18223935
125.0,125.0,0.24665613
126.0,126.0,0.53661186
127.0,127.0,0.39810225
128.0,128.0,0.0112736225
129.0,129.0,0.00632373
130.0,130.0,0.3256138
131.0,131.0,0.28971756
132.0,132.0,0.11903994
133.0,133.0,0.7792063
134.0,134.0,0.53947806
135.0,135.0,0.2536017
136.0,136.0,0.5359413
137.0,137.0,0.030866273
138.0,138.0,0.16324106
139.0,139.0,0.27304682
140.0,140.0,0.5547438
141.0,141.0,0.13909654
142.0,142.0,0.56398076
143.0,143.0,0.01984853
144.0,144.0,0.59122145
145.0,145.0,0.4528286
146.0,146.0,0.21027473
147.0,147.0,0.25678426
148.0,148.0,0.66438866
149.0,149.0,0.24969143
150.0,150.0,0.58642524
151.0,151.0,0.27893987
152.0,152.0,0.55889785
153.0,153.0,0.5409945
154.0,154.0,0.015654124
155.0,155.0,0.14134991
156.0,156.0,0.014141913
157.0,157.0,0.7273604
158.0,158.0,0.6619939
159.0,159.0,0.7503733
160.0,160.0,0.5364094
161.0,161.0,0.59587634
162.0,162.0,0.6449229
163.0,163.0,0.5002286
164.0,164.0,0.5910177
165.0,165.0,0.7097885
166.0,166.0,0.66757417
167.0,167.0,0.57293373
168.0,168.0,0.584707
169.0,169.0,0.50408435
170.0,170.0,0.687337
171.0,171.0,0.0014051495
172.0,172.0,0.015001101
173.0,173.0,0.5306484
174.0,174.0,0.46228454
175.0,175.0,0.78485614
176.0,176.0,0.02047336
177.0,177.0,0.1126854
178.0,178.0,0.5272031
179.0,179.0,0.5847671
180.0,180.0,0.55994165
181.0,181.0,0.4222776
182.0,182.0,0.51703125
183.0,183.0,0.59350276
184.0,184.0,0.08972868
185.0,185.0,0.532381
186.0,186.0,0.55286276
187.0,187.0,0.5341379
188.0,188.0,0.5663873
189.0,189.0,0.7963648
190.0,190.0,0.6235762
191.0,191.0,0.17930965
192.0,192.0,0.615815
193.0,193.0,0.5201469
194.0,194.0,0.097602196
195.0,195.0,0.30507475
196.0,196.0,0.14539348
197.0,197.0,0.16190173
198.0,198.0,0.030229788
199.0,199.0,0.15461342
200.0,200.0,0.6345078
201.0,201.0,0.23609552
202.0,202.0,0.5367617
203.0,203.0,0.58336616
204.0,204.0,0.0017660538
205.0,205.0,0.6664804
206.0,206.0,0.6376625
207.0,207.0,0.012350904
208.0,208.0,0.56563044
209.0,209.0,0.2989022
210.0,210.0,0.57759815
211.0,211.0,0.76790875
212.0,212.0,0.15377527
213.0,213.0,0.17490478
214.0,214.0,0.0047182334
215.0,215.0,0.50452185
216.0,216.0,0.5688097
217.0,217.0,0.32732677
218.0,218.0,0.00792569
219.0,219.0,0.5183284
220.0,220.0,0.56054413
221.0,221.0,0.019299341
222.0,222.0,0.044132378
223.0,223.0,0.018032912
224.0,224.0,0.0038632785
225.0,225.0,0.09238718
226.0,226.0,0.098924614
227.0,227.0,0.0031724102
228.0,228.0,0.12198234
229.0,229.0,0.56403905
230.0,230.0,0.04909238
231.0,231.0,0.3811269
232.0,232.0,0.002243269
233.0,233.0,0.12808894
234.0,234.0,0.037393834
